date,open
2013/10/7,20.41
2013/10/8,20.32
2013/10/9,20.08
2013/10/10,20.35
2013/10/11,20.5
2013/10/14,20.52
2013/10/15,20.64
2013/10/16,20.57
2013/10/17,20.72
2013/10/18,21.23
2013/10/21,21.23
2013/10/22,21.53
2013/10/23,21.82
2013/10/24,22.08
2013/10/25,22.76
2013/10/28,22.24
2013/10/29,22.76
2013/10/30,22.38
2013/10/31,22.6
2013/11/1,22.04
2013/11/4,22.6
2013/11/5,22.75
2013/11/6,23.26
2013/11/7,22.53
2013/11/8,22.16
2013/11/11,23.25
2013/11/12,23.26
2013/11/13,24.22
2013/11/14,23.79
2013/11/15,23.73
2013/11/18,24.22
2013/11/19,24.55
2013/11/20,24.29
2013/11/21,24.07
2013/11/22,24.2
2013/11/25,24.45
2013/11/26,24.17
2013/11/27,23.92
2013/11/29,24.12
2013/12/2,23.55
2013/12/3,22.99
2013/12/4,22.38
2013/12/5,22.27
2013/12/6,22.72
2013/12/9,23.95
2013/12/10,24.54
2013/12/11,25.44
2013/12/12,26.2
2013/12/13,25.61
2013/12/16,26.63
2013/12/17,26.47
2013/12/18,25.99
2013/12/19,26.09
2013/12/20,26.16
2013/12/23,26.29
2013/12/24,26
2013/12/26,26.12
2013/12/27,25.95
2013/12/30,24.87
2013/12/31,24.74
2014/1/2,25.07
2014/1/3,25.75
2014/1/6,26.62
2014/1/7,27.2
2014/1/8,26.37
2014/1/9,28.24
2014/1/10,29.05
2014/1/13,29.18
2014/1/14,28.75
2014/1/15,28.9
2014/1/16,28.94
2014/1/17,29.3
2014/1/21,30.66
2014/1/22,30.71
2014/1/23,30.65
2014/1/24,31.02
2014/1/27,30.4
2014/1/28,30.32
2014/1/29,32.24
2014/1/30,33.36
2014/1/31,33.44
2014/2/3,33.95
2014/2/4,34.04
2014/2/5,33.82
2014/2/6,33.71
2014/2/7,34.81
2014/2/10,36.1
2014/2/11,35.58
2014/2/12,34.89
2014/2/13,34.07
2014/2/14,34.85
2014/2/18,34.73
2014/2/19,34.25
2014/2/20,34.43
2014/2/21,35.78
2014/2/24,36.2
2014/2/25,36.63
2014/2/26,37.12
2014/2/27,36.88
2014/2/28,36.11
2014/3/3,36.17
2014/3/4,36.57
2014/3/5,37.6
2014/3/6,38.28
2014/3/7,39.17
2014/3/10,38.7
2014/3/11,38.65
2014/3/12,37.97
2014/3/13,37.9
2014/3/14,36
2014/3/17,36.62
2014/3/18,37.75
2014/3/19,37.27
2014/3/20,36.61
2014/3/21,36.76
2014/3/24,36.25
2014/3/25,36.88
2014/3/26,38.15
2014/3/27,36.62
2014/3/28,35.77
2014/3/31,35.84
2014/4/1,36.95
2014/4/2,38.24
2014/4/3,37.72
2014/4/4,37.41
2014/4/7,36.78
2014/4/8,36
2014/4/9,36.08
